日期,股票代號,股票名稱,標的代號,標的名稱,商品種類,數值,單位,權重(%)
20260519,00981A,主動統一台股增長,2330,台積電,股票,1500000,股,30.50
20260519,00981A,主動統一台股增長,6669,緯穎,股票,2200,股,4.45
20260519,00981A,主動統一台股增長,3533,嘉澤,股票,600,股,0.55
20260519,00981A,主動統一台股增長,2357,華碩,股票,1600,股,0.40
20260520,00981A,主動統一台股增長,2330,台積電,股票,1500000,股,30.20
20260520,00981A,主動統一台股增長,6669,緯穎,股票,2250,股,4.55
20260520,00981A,主動統一台股增長,3533,嘉澤,股票,600,股,0.59
20260520,00981A,主動統一台股增長,2357,華碩,股票,1621,股,0.42
20260521,00981A,主動統一台股增長,2330,台積電,股票,1500000,股,30.00
20260521,00981A,主動統一台股增長,6669,緯穎,股票,2300,股,4.78
20260521,00981A,主動統一台股增長,3533,嘉澤,股票,748,股,0.74
20260521,00981A,主動統一台股增長,2357,華碩,股票,272,股,0.07
20260519,00999A,主動富邦AI動能,2330,台積電,股票,2000000,股,35.00
20260519,00999A,主動富邦AI動能,2382,廣達,股票,800000,股,8.50
20260519,00999A,主動富邦AI動能,2308,台達電,股票,500000,股,5.20
20260520,00999A,主動富邦AI動能,2330,台積電,股票,2050000,股,35.50
20260520,00999A,主動富邦AI動能,2382,廣達,股票,780000,股,8.20
20260520,00999A,主動富邦AI動能,2308,台達電,股票,520000,股,5.40
20260521,00999A,主動富邦AI動能,2330,台積電,股票,2100000,股,36.10
20260521,00999A,主動富邦AI動能,2382,廣達,股票,750000,股,7.90
20260521,00999A,主動富邦AI動能,2308,台達電,股票,550000,股,5.80
